"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-03-15T01:02:49.000Z","video","ALL three and a half hours of Taylor Swift | The Eras Tour (My Version), including “cardigan” and FOUR new acoustic songs, are now YOURS to stream anytime you want on  🫶

","","https://pbs.twimg.com/amplify_video_thumb/1768442646060527616/img/dZ_e9l37WO62MEr2.jpg","82K","20K","3.7K"
"2024-03-10T20:22:36.000Z","image","We got to play 6 shows in Singapore for the most wonderful crowds - just want to say thank you from the bottom of my heart to everyone who traveled and put so much effort into being at our shows. What an unforgettable way to end this leg of the tour!! See you in May when we get…","","https://pbs.twimg.com/media/GIVeu3nWEAAfNiF?format=jpg&name=small,https://pbs.twimg.com/media/GIVeu33WEAADaa6?format=jpg&name=small,https://pbs.twimg.com/media/GIVeu3GXQAEgNcY?format=jpg&name=small,https://pbs.twimg.com/media/GIVeu3DXsAAwL_i?format=jpg&name=small","300K","43K","5.1K"
"2024-03-04T14:24:34.000Z","video","I’m delighted to tell you that you’ll be able to watch Taylor Swift | The Eras Tour (My Version) a few hours earlier than expected! Experience the ENTIRE concert film for the first time ever, beginning to end, including “cardigan” and FOUR new acoustic songs on …","","","246K","43K","4.4K"
"2024-03-03T13:55:20.000Z","image","“Old habits die screaming…”
File Name: The Black Dog 🖤
Pre-order the final new edition of THE TORTURED POETS DEPARTMENT with exclusive bonus track “The Black Dog” on my website now



📷: Beth Garrabrant","","https://pbs.twimg.com/media/GHwC_OnW0AAV_5x?format=jpg&name=small,https://pbs.twimg.com/media/GHwC_OrWgAAAg3L?format=jpg&name=small","284K","64K","4.5K"
"2024-02-28T13:16:44.000Z","image","Sydney, Sydney, Sydney, Sydney… what a whirlwind of endless magical moments with you. I’m so grateful that we got to be the first tour to play Accor Stadium 4 times. I’ll never forget singing with Sabrina, the chaotic acoustic mashups, and the crowds that were louder (singing…","","https://pbs.twimg.com/media/GHbTy6lWIAATGJa?format=jpg&name=small,https://pbs.twimg.com/media/GHbTy6lXQAAT7au?format=jpg&name=small,https://pbs.twimg.com/media/GHbTy6OX0AA3TAB?format=jpg&name=small,https://pbs.twimg.com/media/GHbTy6KWIAAIxdr?format=jpg&name=small","315K","39K","4.4K"
"2024-02-23T12:16:28.000Z","image","File Name: The Albatross 🤍
Pre-order the new edition of THE TORTURED POETS DEPARTMENT with exclusive bonus track “The Albatross”on my website now



📷: Beth Garrabrant","","https://pbs.twimg.com/media/GHBWDfLXUAAg2PV?format=jpg&name=small,https://pbs.twimg.com/media/GHBWDfYWYAAmBQn?format=jpg&name=small","306K","61K","4.4K"
"2024-02-18T20:31:46.000Z","video","Melbourne, what do I even say to you after over 288,000 of you came and danced with us in the last 3 nights ??! That was unforgettable. You were on an another LEVEL. Thank you for the memories. I’ll revisit the ones from this weekend often 🥲🫶

📷:  / ","","https://pbs.twimg.com/media/GGpXZd9WwAAX_3K?format=jpg&name=small,https://pbs.twimg.com/media/GGpXZcwW8AAIBe8?format=jpg&name=small,https://pbs.twimg.com/media/GGpXZc1XkAA6le0?format=jpg&name=small,https://pbs.twimg.com/amplify_video_thumb/1759314699517100032/img/nKBHkuhWYZZ8m7Ts.jpg","259K","35K","4.6K"
"2024-02-16T11:28:36.000Z","image","File Name: The Bolter 🤍
Pre-order the new edition of THE TORTURED POETS DEPARTMENT with an exclusive bonus track for a limited time on my website now



📷: Beth Garrabrant","","https://pbs.twimg.com/media/GGdH-DtW4AArR0j?format=jpg&name=small,https://pbs.twimg.com/media/GGdH-DsWsAAFF4b?format=jpg&name=small","322K","69K","4.5K"
"2023-12-06T14:27:34.000Z","image","Time Magazine: We’d like to name you Person of the Yea-

Me: Can I bring my cat.Read Taylor Swift's full Person of the Year interview (featuring Benjamin Button, the cat) https://time.com/6342806/person-of-the-year-2023-taylor-swift/…","","https://pbs.twimg.com/media/GAqmNrWWIAANHG1?format=jpg&name=medium","795K","153K","16K"
"2023-12-01T20:15:37.000Z","image","Got invited to London by The Queen…✨👑✨ Renaissance: A Film by Beyoncé is in theaters now!! 

📷: Mason Poole / ","","https://pbs.twimg.com/media/GASeLUHWIAAlMTV?format=jpg&name=small,https://pbs.twimg.com/media/GASeLUIW8AMqBRs?format=jpg&name=small,https://pbs.twimg.com/media/GASeLUHXcAAJta7?format=jpg&name=900x900,https://pbs.twimg.com/media/GASeLUJWEAAAslX?format=jpg&name=small","493K","84K","8.6K"
